Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
eglese.87,140,190,95,206,9,9,31.38,2521,2511.05,4.821566136,2495,134.84165,6.873247808,122.063
eglese.88,140,190,95,206,9,9,28.792,2521,2502.9,23.76741467,2429,140.06065,4.301104187,130.504
eglese.89,140,190,95,206,9,9,28.914,2521,2502.9,20.0970147,2450,138.5722,3.584258063,131.952
eglese.90,140,190,95,206,9,9,28.921,2521,2491.5,25.30118574,2434,136.25495,4.475377062,128.269
eglese.91,140,190,95,206,9,9,28.908,2521,2505.1,15.39447953,2470,138.99515,5.503065276,131.885
eglese.111,140,190,95,206,9,9,21.077,2380,2358.4,94.15221718,1948,88.9727,3.847116402,82.414
eglese.112,140,190,95,206,9,9,20.964,2380,2352.3,94.78612768,1948,91.3695,3.571461333,86.488
eglese.92,140,190,95,206,9,9,19.647,2521,2500.1,18.50918691,2456,96.1966,3.033437644,91.099
eglese.93,140,190,95,206,9,9,20.88,3031,2727.15,208.6512102,2520,104.234,6.00091433,91.138
eglese.94,140,190,95,206,9,9,21.003,3031,2697.45,201.3458405,2520,102.2947,5.263551796,93.096
eglese.95,140,190,95,206,9,9,20.841,3031,2740.7,204.7415688,2520,104.178,4.96191981,96.237
eglese.96,140,190,95,206,9,9,20.706,3031,2750.8,214.5923111,2520,104.4644,5.334969966,94.543
eglese.97,140,190,95,206,9,9,20.617,3031,2680.95,183.3956038,2520,105.04105,6.302574208,91.48
eglese.98,140,190,95,206,9,9,19.038,2605,2544.1,30.20744941,2508,97.3022,4.432498185,90.376
eglese.99,140,190,95,206,9,9,18.953,2605,2541.7,28.30388666,2508,97.49725,5.986686562,85.806
eglese.1,77,98,49,184,12,12,4.108,675,656.1,12.7314571,641,32.4915,1.545769663,29.074
eglese.10,77,98,49,184,12,12,3.412,677,658.1,5.93211598,655,36.47435,1.879630636,32.933
eglese.100,140,190,95,206,9,9,19.028,2605,2535.6,28.74960869,2508,95.9352,4.714598844,89.379
eglese.101,140,190,95,206,9,9,19.134,2605,2531.8,27.3378858,2508,95.27,6.063517552,87.558
eglese.102,140,190,95,206,9,9,19.296,2605,2535.4,28.84683691,2508,98.9036,4.347243235,90.773
eglese.103,140,190,95,206,9,9,21.968,2548,2525.4,7.425631286,2502,98.7055,8.463942004,91.842
eglese.104,140,190,95,206,9,9,22.182,2548,2525.05,4.455053311,2515,97.6066,4.34437561,91.329
eglese.105,140,190,95,206,9,9,21.87,2548,2527.55,6.391204894,2521,97.73985,4.510846708,91.347
eglese.106,140,190,95,206,9,9,21.72,2548,2529.8,10.71727577,2521,99.22125,6.530312962,88.217
eglese.107,140,190,95,206,9,9,21.687,2548,2526.15,5.738248862,2521,98.0008,4.704709955,91.377
eglese.108,140,190,95,206,9,9,21.158,2380,2273.65,183.7466394,1933,88.10435,5.35100103,77.906
